cycle,year,V_total,U_circ,D_total,ratio_D_V,kappa,eta_global,V_ON,gini,top10_share,top20_share,median_wealth,mean_wealth,eta_mean,eta_std,population,entreprises,age_median,age_mean,deaths,births,RU_total,U_burn,V_burned,V_salaries,staking_volume,r_ic,nu_eff,tau_eng,D_materiel,D_services,D_contractuel,D_engagement,D_regulateur
20,1,27686.04169926458,0.0,23049.79206248704,0.6638364674968039,2.0,2.0,34722.09375511298,0.5456629931241275,0.3615975747016272,0.7069395322209266,2.556668140323666,6.840530473985355,0.8334152397910889,0.09143530882377136,4069,1218,44.0,43.653477512902434,0,0,67823.33221419896,314.0960683376184,345.28236454522175,230.1882430301479,0,0.0,0.014088044087911622,0.0,23020.610923093063,0.0,0.0,0.0,29.181139393974437
21,1,27923.362803036078,0.0,23025.782016087225,0.6523493081334384,2.0,2.0,35296.70642553558,0.5421143867392026,0.359534318571488,0.7024873610978679,2.716822286737146,6.900915532476049,0.8334152397910889,0.09143530882377136,4069,1218,44.0,43.653477512902434,0,0,67823.33221419896,324.09606833761836,355.98165565714663,237.32110377143115,0,0.0,0.012689897442701908,0.0,22996.631273518913,0.0,0.0,0.0,29.15074256831331
22,1,28166.612030176224,0.0,23001.796979992345,0.640964009545334,2.0,2.0,35886.25357655979,0.5381935388566343,0.3572631710818496,0.6978095286595734,2.831590120643604,6.962839002904682,0.8334152397910889,0.09143530882377136,4069,1218,44.0,43.653477512902434,0,0,67823.33221419896,374.0960683376183,364.8738407101568,243.2492271401046,0,0.0,0.012855387395331564,0.0,22972.676602586536,0.0,0.0,0.0,29.1203774058096
23,1,28400.283328108184,0.0,22977.836928150165,0.6286008535357908,2.0,2.0,36553.938479248136,0.5344050851498665,0.35521051046284025,0.6933971663065573,2.9202168715317782,7.022329764151835,0.8334152397910889,0.09143530882377136,4069,1218,44.0,43.653477512902434,0,0,67823.33221419896,284.0960683376184,350.50694689796524,233.67129793197682,0,0.0,0.014491808760005177,0.0,22948.746884276683,0.0,0.0,0.0,29.09004387348106
24,2,28649.195038102054,0.0,22953.901834535587,0.6190559144720876,2.0,2.0,37078.8830183619,0.530397558527339,0.35308300561695427,0.6888360773703722,2.987971553628537,7.085287413997987,0.8334152397910889,0.09143530882377136,4069,1218,45.0,44.653477512902434,0,0,67823.33221419896,334.0960683376183,373.3675649909232,248.91170999394882,0,0.0,0.010946674276172656,0.0,22924.842092597206,0.0,0.0,0.0,29.05974193837981
25,2,28901.400031051748,0.0,22929.99167315062,0.6087582151020109,2.0,2.0,37666.829135616994,0.5270004083228708,0.3512165137261414,0.6843739788849744,3.0537438263409262,7.150796678762077,0.8334152397910889,0.09143530882377136,4069,1218,45.0,44.653477512902434,0,0,67823.33221419896,374.09606833761836,378.3074894244703,252.2049929496468,0,0.0,0.012586324289409692,0.0,22900.96220158303,0.0,0.0,0.0,29.029471567592275
26,2,29138.80071815388,0.0,22931.396121976893,0.5984625387549007,2.0,2.0,38317.178832422134,0.523509485825516,0.3494697277134486,0.6798323602015025,3.086952013876302,7.213394126696635,0.8334202828785634,0.09143212769770348,4069,1219,45.0,44.65200294912755,1,1,67823.33221419896,384.09606833761836,394.0751426955322,262.7167617970215,0,0.0,0.013821446574334465,0.0,22877.107185296125,0.0,0.0,0.0,54.28893668076718
27,2,29387.170003924915,0.0,22907.509403892473,0.5882197495406011,2.0,2.0,38943.79510681715,0.5199087471491359,0.3474818269376765,0.6756236963807253,3.115516351910087,7.276520917017446,0.8334202828785634,0.09143212769770348,4069,1219,45.0,44.65200294912755,0,0,67823.74262065763,284.09606833761836,372.55392865654693,248.36928577103126,0,0.0,0.01391480552907653,0.0,22853.277017825487,0.0,0.0,0.0,54.23238606698429
28,2,29603.148389018574,0.0,22908.835540275984,0.5807764767994777,2.0,2.0,39445.18494709217,0.5167910635903981,0.3459523702527901,0.671607374111166,3.1351080301091154,7.332121186580372,0.8334014967458093,0.09142122232646231,4069,1219,45.0,44.64856230031949,1,1,67823.74262065763,314.09606833761836,361.7889335776948,241.1926223851298,0,0.0,0.010281372599118632,0.0,22829.4716732871,0.0,0.0,0.0,79.3638669888842
29,2,29859.485715660634,0.0,22884.9723226471,0.5723466091881095,2.0,2.0,39984.463881266114,0.5133398672004013,0.34412559497022505,0.6676805969347477,3.1654163497813665,7.3985210584979715,0.8334014967458093,0.09142122232646231,4069,1219,45.0,44.64856230031949,0,0,67822.21380517412,424.09606833761836,384.5059899632917,256.33732664219445,0,0.0,0.011177339949812808,0.0,22805.6911258239,0.0,0.0,0.0,79.28119682319655
